name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Tyrika Cameron,4,,,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.3,.000,,
Zach Cameron,62,1,13.6,0.7,1.5,.462,0.7,1.5,.467,0.0,0.0,.000,0.4,0.8,.553,0.9,2.2
Paul Camerzell,1,,,0.0,1.0,.000,0.0,0.0,,,,,,,0.0,0.0,
Jose Cami,21,5,12.0,0.6,3.2,.191,0.2,0.7,.267,0.4,2.5,.170,0.6,1.0,.619,0.2,0.8
Ridell Camidge,28,6,14.4,1.4,4.8,.296,0.6,1.4,.400,0.9,3.4,.253,0.3,0.6,.500,0.3,1.6
Dick Camilli,8,,,0.8,2.5,.300,0.9,1.8,.500,,,,,,1.0,2.4,
Jamie Cammaert,107,0,22.4,3.5,7.5,.467,2.9,5.8,.491,0.7,1.7,.385,1.8,2.7,.660,,
Casey Cammann,106,71,25.3,3.4,5.7,.591,3.3,5.7,.591,0.0,0.0,1.000,1.9,3.2,.587,,
Rick Cammarata,10,,,0.2,0.4,.500,0.4,0.4,1.000,0.4,,,,,0.6,0.8,
Sal Cammarata,19,,,0.4,0.7,.615,0.3,0.6,.417,,,,,,0.6,1.1,
Jeff Cammon,84,74,28.0,1.3,3.7,.360,0.4,1.3,.336,0.9,2.4,.373,1.3,1.5,.835,0.6,1.6
Danny Camp,3,0,3.0,0.0,1.3,.000,,,,,,,0.7,1.0,.667,0.7,0.0
Robert Camp,66,,,4.0,8.9,.447,2.7,3.3,.795,7.6,,,,,2.8,10.7,
Rod Camp,49,30,23.4,4.1,8.3,.496,,,,,,,2.8,3.9,.717,5.5,0.2
Sherm Camp,28,,,2.4,7.8,.301,2.5,3.6,.686,4.3,,,,,3.0,7.2,
Tony Camp,3,0,,0.3,1.0,.333,,,,,,,0.3,1.0,.333,0.7,0.0
Dan Campagna,1,,,0.0,0.0,,0.0,1.0,.000,3.0,,,,,1.0,0.0,
_ Campana,41,,,5.4,,,3.2,,,,,,,,,14.0,
Joe Campanella,39,,3.6,0.9,2.8,.315,,,.277,,,.351,1.0,1.2,.792,,
Kyle Campanelli,22,4,8.4,0.7,2.0,.349,0.7,1.9,.357,0.0,0.0,.000,0.2,0.2,1.000,,
Mark Campanero,52,,,1.9,4.2,.445,1.0,1.4,.736,2.1,1.5,,,,1.2,4.8,
Aaron Campbell,3,0,1.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.0,,0.0,0.3
Alan Campbell,58,42,26.5,3.7,7.3,.506,,,,,,,2.2,2.6,.822,3.8,3.7
Allan Campbell,66,25,20.4,3.3,7.9,.411,1.8,4.3,.404,1.5,3.6,.419,1.9,2.7,.698,,
Alonzo Campbell,66,30,10.3,1.1,2.2,.514,1.1,2.1,.529,0.0,0.1,.000,0.5,0.9,.614,0.7,0.9
