name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Lance Bailey,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0
Larry Bailey,24,,,3.1,,,3.3,4.0,.833,2.5,,,,,2.4,9.6,
Leon Bailey,3,,,0.0,0.3,.000,0.0,0.0,,0.0,,,,,0.3,0.0,
Malcolm Bailey,2,0,7.0,1.0,1.5,.667,1.0,1.5,.667,0.0,0.0,,1.5,1.5,1.000,0.5,1.0
Marcus Bailey,101,93,28.6,4.6,9.5,.478,3.8,7.4,.516,0.7,2.1,.347,3.6,4.6,.785,,
Marcus Bailey,5,0,2.6,0.2,0.4,.500,0.2,0.4,.500,0.0,0.0,,0.2,0.2,1.000,0.2,0.6
Mario Bailey,60,34,21.5,1.7,3.6,.481,1.4,2.6,.526,0.4,1.0,.371,1.2,1.9,.626,,
Mark Bailey,27,,,1.1,3.1,.357,0.4,1.1,.387,0.7,2.0,.340,1.0,1.1,.867,,
Mark Bailey,17,0,4.5,0.1,0.6,.200,0.1,0.6,.200,0.0,0.0,,0.0,0.1,.000,,
Mark Bailey,4,,,0.5,1.5,.333,0.0,0.0,,0.0,,,,,0.5,1.0,
Martell Bailey,96,79,29.6,2.9,7.3,.391,2.5,6.1,.407,0.4,1.2,.316,2.1,3.6,.588,0.5,2.7
Marty Bailey,108,69,26.0,2.6,6.4,.412,0.9,2.0,.442,1.8,4.4,.397,1.2,1.5,.801,0.6,1.6
Marvin Bailey,75,,,3.7,7.4,.495,3.7,7.4,.495,0.0,0.0,,2.3,3.9,.595,,
Maurice Bailey,84,74,31.5,5.6,13.4,.418,4.7,10.3,.454,0.9,3.1,.302,4.8,6.2,.780,1.7,2.4
Michael Bailey,3,0,,1.0,2.7,.375,0.3,0.7,.500,0.7,2.0,.333,0.7,0.7,1.000,0.3,0.3
Mike Bailey,55,,,1.8,4.2,.420,1.3,3.0,.436,0.5,1.2,.382,1.0,1.2,.831,,
Murray Bailey,66,,,4.7,11.8,.394,5.2,6.5,.812,4.8,,,,,2.5,14.5,
