name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Bill Zeits,68,,,2.0,4.8,.410,0.8,1.3,.663,1.8,,,,,1.4,4.8,
Branimir Zeko,28,5,9.1,0.7,1.6,.413,0.7,1.5,.442,0.0,0.1,.000,0.2,0.3,.625,0.6,0.9
Ray Zelek,64,,,3.2,9.4,.334,2.8,4.1,.682,9.6,,,,,3.6,9.1,
Ted Zelek,25,,,1.2,3.5,.345,0.6,0.9,.636,2.2,0.6,,,,1.5,3.0,
Andrej Zelenbaba,37,2,6.3,0.6,1.6,.377,0.4,1.0,.444,0.2,0.7,.280,1.0,1.3,.735,,
Jovan Zelenbaba,73,15,15.6,1.8,4.6,.380,1.1,2.5,.425,0.7,2.1,.327,0.9,1.3,.716,0.5,1.8
Norm Zelenko,37,,,3.2,8.3,.383,2.4,3.4,.720,5.1,,,,,2.0,8.8,
Frank Zelesnik,41,25,29.2,4.2,10.1,.419,2.8,4.3,.648,4.5,2.7,,,,2.7,11.2,
Dick Zelickson,58,,,3.3,9.2,.356,1.3,1.9,.706,3.6,,,,,3.0,7.7,
Jack Zelinger,1,,,1.0,2.0,.500,0.0,0.0,,0.0,,,,,0.0,2.0,
_ Zelinski,5,,,6.2,,,3.0,4.4,.682,,,,,,1.4,15.4,
Andrew Zelis,38,0,6.9,0.8,1.6,.525,0.8,1.6,.525,0.0,0.0,,0.2,0.6,.381,0.5,1.3
Maros Zeliznak,86,9,9.5,0.8,1.6,.504,0.8,1.6,.511,0.0,0.0,.000,0.3,0.9,.351,0.9,1.1
Cody Zeller,72,72,29.0,5.5,9.4,.592,5.5,9.3,.594,0.0,0.0,.000,5.0,6.6,.756,2.6,4.7
Dave Zeller,66,,,5.7,12.8,.445,5.0,6.5,.762,3.3,,,,,3.1,16.3,
Gary Zeller,60,,,3.6,9.5,.381,2.0,3.4,.581,2.6,,,,,2.3,9.2,
Luke Zeller,128,32,13.2,1.5,3.7,.417,0.7,1.4,.511,0.8,2.3,.360,0.3,0.5,.574,0.8,1.7
Marty Zeller,48,23,21.3,1.2,2.7,.450,0.8,1.4,.529,3.1,0.5,0.7,0.3,0.7,1.9,3.2,
Tyler Zeller,117,75,23.0,4.7,8.6,.543,4.7,8.6,.544,0.0,0.0,.000,3.5,4.5,.775,2.7,4.0
Ed Zello,7,0,1.6,0.1,0.4,.333,0.1,0.3,.500,0.0,0.1,.000,0.0,0.0,,0.0,0.3
Damian Zellous,52,17,17.2,1.8,4.5,.398,0.9,1.8,.495,0.9,2.7,.333,1.2,1.5,.816,,
Joseph Zemba,,,,,,.154,,,.000,,,,,,,,
Steve Zemba,18,,,0.4,1.2,.381,0.2,0.4,.500,0.7,,,,,0.9,1.1,
Dick Zembal,77,,,4.0,8.5,.476,2.7,3.7,.735,7.1,,,,,1.5,10.8,
John Zembron,39,,,0.8,2.0,.416,0.4,0.6,.682,1.5,0.2,,,,1.1,2.0,
Deividas Zemgulis,67,3,8.4,0.6,1.6,.343,0.3,0.6,.513,0.3,1.0,.246,0.2,0.3,.696,0.5,0.6
Deivis Zemgulis,8,0,3.3,0.4,0.8,.500,0.1,0.1,1.000,0.3,0.6,.400,0.0,0.0,,0.0,0.6
Bob Zender,78,,,3.8,8.4,.448,2.4,3.3,.727,6.1,,,,,2.7,10.0,
Ben Zenevich,53,,,1.0,2.6,.377,0.7,1.4,.493,1.6,1.1,,,,1.5,2.6,
Martin Zeno,130,121,34.3,5.0,10.6,.472,4.8,9.9,.486,0.2,0.8,.301,4.4,5.8,.760,1.3,3.6
Michael Zeno,122,47,16.2,1.9,4.7,.396,1.8,4.6,.403,0.0,0.1,.083,1.3,2.2,.564,1.2,2.0
Michael Zeno,92,9,16.6,2.3,5.3,.434,,,,,,,1.1,1.6,.687,4.6,1.2
Tony Zeno,112,71,24.8,4.8,10.4,.466,1.8,2.4,.742,7.5,,,,,3.0,11.4,
Guy Zenou,27,,,2.1,4.6,.452,1.9,3.9,.476,0.2,0.7,.316,0.8,1.2,.688,,
Mike Zepeda,13,0,6.6,0.8,1.7,.500,0.8,1.7,.500,0.0,0.0,,0.3,0.5,.667,0.6,0.8
Keil Zepernick,6,,,0.8,1.5,.556,0.8,1.5,.556,0.0,0.0,,1.0,1.0,1.000,,
Bryce Zephir,5,0,4.6,0.8,1.8,.444,0.6,1.0,.600,0.2,0.8,.250,0.2,0.4,.500,0.0,0.6
Buf Zephir,46,,,0.4,0.8,.459,0.3,0.5,.520,,,,,,0.8,0.8,
