name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Isaac Haas,139,76,18.0,4.0,6.9,.589,4.0,6.9,.589,0.0,0.0,,3.1,4.5,.689,1.6,3.1
Jason Haas,122,4,11.3,0.5,1.6,.301,0.3,1.1,.326,0.1,0.5,.250,0.7,0.7,.879,0.1,0.7
Mitch Haas,63,1,4.8,0.6,1.2,.513,,,,,,,0.3,0.4,.640,0.5,0.2
Richard Haas,12,,,1.0,2.0,.500,0.4,0.8,.556,1.0,,,,,1.1,2.4,
Tom Haas,4,,,0.3,0.5,.500,0.0,0.0,,0.8,,,,,0.8,0.5,
Bronson Haase,,,,,,,,,,,,,,,,,
Dale Haase,43,,,1.3,3.8,.352,0.5,0.8,.639,2.4,0.3,,,,1.9,3.2,
Don Haase,82,,,3.7,9.1,.404,3.6,6.2,.585,11.5,,,,,3.4,11.0,
Felipe Haase,112,55,25.8,3.1,7.0,.445,1.7,3.3,.510,1.4,3.7,.389,1.5,1.9,.782,1.3,3.9
Jerod Haase,131,99,27.2,3.5,8.3,.422,2.1,4.0,.514,1.4,4.3,.336,2.9,3.9,.736,,
John Haase,80,27,18.2,3.5,7.9,.448,2.5,5.0,.495,1.1,2.9,.365,1.1,1.6,.701,,
Steve Haase,62,26,21.2,1.2,3.2,.384,0.9,2.1,.435,0.3,1.1,.284,1.4,1.8,.800,,
Ziga Habat,5,0,1.8,0.2,0.2,1.000,0.2,0.2,1.000,0.0,0.0,,0.4,0.4,1.000,0.0,0.2
Mansa Habeeb,58,11,16.1,1.4,3.2,.446,1.3,2.6,.514,0.1,0.7,.184,1.6,2.3,.691,0.5,1.2
Quadir Habeeb,55,21,13.3,1.4,3.4,.401,1.4,3.4,.401,0.0,0.0,,0.4,0.9,.423,1.3,1.5
Larry Habegger,79,,,1.4,3.4,.412,1.1,1.6,.683,3.5,,,,,2.5,3.8,
Rich Habegger,62,,,2.1,4.4,.481,1.5,2.5,.595,5.9,,,,,2.8,5.7,
Jerome Habel,29,22,29.4,4.7,7.9,.596,4.7,7.9,.598,0.0,0.0,.000,1.4,2.7,.526,2.3,4.0
Mark Habell,8,,,0.1,1.4,.091,0.9,1.5,.583,1.8,0.0,0.0,,0.0,1.4,1.1,
Kyle Haber,37,4,10.4,0.7,1.9,.375,0.4,0.8,.452,0.4,1.1,.317,0.4,0.6,.591,0.4,0.8
Fred Haberecht,43,,,3.2,7.3,.443,1.4,2.2,.656,6.3,1.1,,,,2.1,7.9,
Brian Haberer,16,,2.6,0.3,1.3,.200,0.2,0.6,.333,0.1,0.7,.091,0.0,0.1,.000,,
Miles Haberer,4,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Joe Haberl,12,,,0.4,2.0,.208,1.2,1.9,.609,3.0,,,,,1.0,2.0,
John Haberle,27,,,1.0,2.3,.443,0.4,1.0,.357,,0.1,,,,2.1,2.4,
Norman Habermann,29,,,0.4,1.7,.229,0.2,0.7,.368,1.2,,,,,0.5,1.0,
Xavier Habersham,70,13,15.5,1.5,3.3,.436,0.6,1.2,.488,0.9,2.1,.407,0.3,0.5,.632,0.5,1.2
Terry Habig,73,48,31.0,6.0,11.6,.521,3.5,4.3,.811,3.7,2.7,,,,3.0,15.6,
Omar Habwe,126,36,18.9,2.0,4.8,.414,1.2,2.4,.495,0.8,2.4,.330,1.4,2.0,.728,0.9,2.3
Mohamed Hachad,111,84,26.3,3.2,6.9,.471,2.6,4.6,.570,0.6,2.3,.273,1.2,2.2,.547,1.0,2.8
Rui Hachimura,102,39,19.7,4.5,7.8,.579,4.3,7.1,.607,0.2,0.7,.316,2.8,3.7,.746,1.1,3.3
Bob Hachman,37,,,1.1,2.6,.423,0.4,0.7,.500,2.5,,,,,1.6,2.6,
