name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Jalen Adams,124,99,31.5,5.3,11.9,.443,4.2,8.6,.485,1.1,3.4,.334,2.1,2.5,.824,0.8,2.9
Jamal Adams,98,38,23.3,2.5,4.3,.575,2.5,4.2,.592,0.0,0.2,.211,1.5,2.3,.636,,
Jamie Adams,62,59,30.4,4.7,12.8,.369,2.6,6.4,.406,2.1,6.5,.332,4.0,5.2,.782,0.4,1.9
Jamil Adams,83,27,17.9,2.3,5.4,.416,,,.473,,,.364,1.0,1.4,.744,,
Jaylen Adams,110,108,36.3,4.8,11.3,.427,2.4,5.1,.467,2.5,6.2,.394,5.3,6.3,.838,0.5,2.8
Jeff Adams,27,,6.0,0.7,2.0,.358,0.1,0.1,.500,1.7,0.3,,0.2,,,1.5,
Jeremy Adams,77,8,12.1,0.9,2.7,.338,0.7,2.0,.361,0.2,0.7,.269,1.1,1.7,.649,0.6,1.1
Jerome Adams,46,28,,1.6,4.1,.381,0.5,0.9,.488,1.1,3.2,.349,1.0,1.2,.818,,
Jerry Adams,111,41,25.0,2.4,4.5,.524,,,,,,,1.6,2.7,.594,6.3,1.0
Jim Adams,10,,,0.3,0.7,.429,0.1,0.4,.250,1.1,,,,,0.6,0.7,
Jim Adams,34,,,2.6,4.8,.530,1.9,4.2,.462,2.5,,,,,2.1,7.1,
John Adams,98,18,13.4,1.1,2.5,.429,0.7,1.6,.468,0.3,0.9,.363,0.6,0.9,.678,0.7,2.0
John Adams,93,,12.3,2.8,6.3,.441,0.7,1.3,.513,5.1,1.2,,,,,6.2,
John Adams,57,,10.0,2.2,5.9,.382,2.1,2.6,.775,5.8,0.3,,,,2.8,6.5,
John Adams,49,,,3.0,5.3,.562,1.7,3.0,.561,8.6,,,,,2.1,7.7,
Jonathan Adams Jr.,3,0,3.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.7
Jonathan Adams,134,31,17.9,1.4,3.8,.384,1.0,2.5,.418,0.4,1.3,.318,0.6,0.7,.740,0.9,2.5
Jordan Adams,69,63,30.2,5.4,11.6,.467,4.0,7.3,.548,1.4,4.3,.331,4.2,5.0,.839,1.3,3.3
Jordyn Adams,61,54,30.4,4.8,12.0,.400,3.1,7.3,.428,1.7,4.7,.358,2.9,3.5,.814,0.6,2.3
Josh Adams,131,121,32.8,4.4,10.2,.434,3.0,5.8,.512,1.4,4.4,.330,3.6,4.7,.760,0.5,2.8
Julian Adams,8,0,2.1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Kevin Adams,3,0,1.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0
Kevin Adams,107,56,21.3,2.9,7.4,.387,1.2,2.6,.448,1.7,4.8,.355,1.6,2.6,.628,,
Kim Adams,116,62,28.0,2.7,4.5,.592,2.7,4.5,.594,0.0,0.0,.000,1.2,2.2,.537,3.0,4.9
Lafayette Adams,56,,,3.2,4.9,.641,,,,,,,1.3,2.1,.597,5.2,
Lamond Adams,47,0,1.3,0.1,0.7,.212,0.0,0.2,.091,0.1,0.5,.273,0.1,0.1,.714,,
Larry Adams,,,,,,,,,,,,,,,,,
Len Adams,35,,,1.7,3.4,.492,0.6,1.3,.467,2.9,0.3,,,,1.9,3.8,
Levi Adams,19,0,,0.1,0.6,.167,0.1,0.6,.167,0.0,0.0,,0.3,0.9,.353,0.3,0.3
Lindsey Adams,48,,,1.7,5.4,.319,0.9,2.8,.336,0.8,2.6,.302,1.2,1.6,.750,,
Lloyd Adams,21,,,3.7,10.7,.342,2.3,4.0,.578,5.7,,,,,2.4,9.6,
Louis Adams,65,19,16.9,2.6,5.6,.457,2.0,4.0,.496,0.6,1.6,.356,2.9,4.0,.729,0.5,2.1
Luke Adams,64,8,9.4,0.5,1.7,.294,0.1,0.5,.172,0.4,1.3,.338,0.7,0.8,.792,0.1,0.5
Luke Adams,48,,,8.0,16.9,.472,3.3,5.2,.632,10.7,,,,,3.3,19.3,
Marcus Adams,6,,3.8,0.7,1.8,.364,0.5,0.7,.750,0.7,0.0,0.5,,0.5,0.7,1.8,
Mark Adams,45,0,6.3,0.4,1.0,.395,0.2,0.4,.438,0.2,0.6,.370,0.2,0.3,.500,0.1,0.6
Mark Adams,29,0,1.5,0.1,0.4,.182,0.0,0.2,.000,0.1,0.2,.400,0.1,0.1,.750,,
Mark Adams,4,,,0.5,1.3,.400,0.5,0.8,.667,0.5,0.3,,,,0.3,1.5,
Marlon Adams,53,12,16.1,1.7,3.8,.442,1.4,2.7,.500,0.3,1.0,.291,0.3,1.0,.333,1.2,2.5
Martavius Adams,124,93,23.2,3.2,6.9,.467,2.9,5.8,.500,0.3,1.1,.286,1.5,2.5,.612,,
Marvin Adams,58,,,1.2,4.4,.280,1.6,2.3,.720,3.8,,,,,3.0,3.9,
