name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Jack Mackay,72,,,3.5,7.6,.460,2.7,3.3,.815,3.4,,,,,1.9,9.6,
John Mackay,98,,28.3,3.5,7.9,.439,,,.435,,,.412,1.6,2.1,.771,,
Luke MacKay,41,1,9.1,0.9,2.6,.349,0.3,0.7,.433,0.6,1.9,.316,0.1,0.2,.556,0.1,0.7
Lyndon MacKay,83,,,4.2,9.3,.450,1.6,2.1,.749,6.7,,,,,3.3,10.0,
Rick Mackay,44,,,1.4,3.3,.431,0.8,1.0,.881,1.3,0.9,,,,0.9,3.7,
Earsell Mackbee,17,,,1.2,2.7,.457,0.6,1.0,.647,1.3,,,,,2.0,3.1,
Bobby Macke,6,,1.8,0.3,0.5,.667,,,,,,,0.0,0.0,,0.3,0.2
Spencer Macke,10,0,1.8,0.2,1.4,.143,0.0,0.3,.000,0.2,1.1,.182,0.2,0.2,1.000,0.0,0.1
William Mackel,,,,,,,,,,,,,,,,,
Mike Mackell,63,57,25.6,4.6,8.6,.536,4.6,8.6,.536,0.0,0.0,,3.2,4.6,.689,2.3,2.2
Andrew Mackenzie,27,,27.4,3.5,9.2,.383,1.4,3.9,.368,2.1,5.3,.394,1.6,2.0,.782,,
David MacKenzie,1,,,0.0,1.0,.000,0.0,0.0,,0.0,,,,,0.0,0.0,
Jack MacKenzie,24,,,1.4,4.6,.297,0.8,1.5,.514,,,,,,2.5,3.5,
Keith MacKenzie,45,4,10.2,0.4,1.4,.281,0.1,0.3,.500,0.3,1.2,.231,0.2,0.2,.636,0.0,0.7
Ken MacKenzie,45,,,4.6,11.2,.411,2.3,3.5,.652,6.0,,,,,2.6,11.5,
Kimbal MacKenzie,122,88,27.1,3.4,8.2,.421,1.7,3.6,.471,1.7,4.5,.381,2.3,2.7,.854,0.5,1.6
Norm MacKenzie,4,,,0.0,0.5,.000,0.8,1.3,.600,,,,,,0.3,0.8,
Scott MacKenzie,,,,,,,,,,,,,,,,,
Tom MacKenzie,67,,,2.7,8.6,.313,1.5,2.1,.719,1.9,1.0,,,,2.2,6.9,
Horace Mackeroy,2,,,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,0.0,0.0,,,
Brian Mackey,6,0,3.8,0.3,1.8,.182,0.3,1.7,.200,0.0,0.2,.000,0.5,1.0,.500,,
Brian Mackey,30,1,3.6,0.4,1.1,.382,0.3,0.8,.417,0.1,0.3,.300,0.3,0.4,.727,,
Christian Mackey,115,3,10.7,1.5,2.6,.560,1.4,2.4,.590,0.1,0.2,.259,0.8,1.2,.679,1.1,1.5
Daryl Mackey,54,,21.6,4.3,8.4,.512,,,,,,,1.7,2.6,.676,3.8,1.9
Earnest Mackey,12,2,,1.3,3.3,.400,1.3,2.8,.471,0.0,0.5,.000,0.7,1.2,.571,,
Ethan Mackey,39,22,15.5,2.2,3.8,.581,2.2,3.8,.581,0.0,0.0,,0.5,1.0,.474,1.3,3.0
Gerry Mackey,63,,,4.1,10.7,.380,2.6,3.5,.739,2.9,4.4,,,,2.0,10.7,
Greg Mackey,56,0,5.3,0.4,1.0,.368,,,,,,,0.3,0.5,.586,1.2,0.3
James Mackey,26,,,1.1,2.5,.438,0.6,1.3,.455,0.5,1.2,.419,1.1,1.4,.778,,
Jeff Mackey,72,31,17.1,2.0,4.5,.446,1.1,1.4,.772,2.9,,,,,1.7,5.1,
Joe Mackey,5,0,1.4,0.4,0.8,.500,0.2,0.4,.500,0.2,0.4,.500,0.0,0.0,,0.0,0.0
Joe Mackey,77,,,5.6,12.4,.454,1.8,2.6,.695,4.4,1.4,,,,2.5,13.1,
John Mackey,6,,,2.0,5.2,.387,0.7,2.2,.308,4.7,,,,,2.5,4.7,
Julian Mackey,9,0,7.6,0.9,2.6,.348,0.7,1.0,.667,0.2,1.6,.143,0.8,0.9,.875,0.3,0.6
Malcolm Mackey,130,127,31.9,5.4,10.0,.545,5.4,10.0,.546,0.0,0.0,.000,2.4,3.9,.621,,
Marcus Mackey,26,,,2.3,5.3,.432,2.3,5.3,.435,0.0,0.0,.000,2.0,3.4,.591,,
Mario Mackey,7,7,31.0,3.1,8.4,.373,1.1,2.9,.400,2.0,5.6,.359,1.7,2.9,.600,0.3,2.7
Mark Mackey,16,,,1.3,3.3,.385,0.6,0.7,.818,1.3,,,,,0.8,3.1,
Paul Mackey,17,,,0.5,2.2,.216,0.8,0.9,.813,,,,,,1.1,1.7,
Trent Mackey,125,69,28.7,3.0,7.0,.433,0.6,1.6,.394,2.4,5.4,.445,0.9,1.1,.829,0.3,1.7
Troy Mackey,2,2,13.5,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,2.0,3.0,.667,,
_ Mackey,22,,,1.0,,,1.6,2.7,.593,,,,,,,3.7,
Glen Mackie,11,,,0.0,,,0.1,0.4,.250,,,,,,0.5,0.1,
Joran Mackie,26,6,16.9,1.5,3.6,.426,1.2,2.6,.441,0.4,1.0,.385,1.0,1.8,.574,0.7,1.2
Keith Mackie,8,0,2.3,0.0,0.4,.000,0.0,0.1,.000,0.0,0.3,.000,0.0,0.0,,0.0,0.5
Ed Mackiewicz,41,1,4.9,0.2,0.4,.467,,,,,,,0.2,0.3,.500,0.8,0.1
Dan Mackin,23,,,10.3,24.3,.427,5.5,7.7,.712,,,,,,3.6,26.2,
Gary Mackin,62,,14.6,1.1,2.2,.489,,,,,,,1.0,1.5,.691,3.0,0.4
Bob MacKinnon,53,,,3.5,12.7,.273,2.2,3.7,.590,,,,,,2.4,9.1,
Bruce MacKinnon,34,,,3.8,11.2,.341,0.7,1.2,.571,3.2,,,,,2.2,8.4,
